TC_ID,Scenario_ID,Test_Case_Title,Module,Robot_File,Robot_Test_Name,Type,Tags
TC_051,TS_016,Verify search with special characters,Search,tests/ui/search_tests.robot,Verify Search With Special Characters Handles Gracefully,UI,"TC_051, TS_016, regression, P1, negative"
TC_056,TS_015,Verify case-insensitive search,Search,tests/ui/search_tests.robot,Verify Search Is Case Insensitive,UI,"TC_056, TS_015, regression, P1, functional"
TC_071,TS_022,Verify product listing page loads after search,Search,tests/ui/search_tests.robot,Verify Product Listing Page Loads After Search,UI,"TC_071, TS_022, smoke, P0, functional"
TC_075,TS_022,Verify No results for non-existent part,Search,tests/ui/search_tests.robot,Verify No Results For Non Existent Product,UI,"TC_075, TS_022, regression, P1, negative"
TC_077,TS_022,Verify clicking product opens detail page,Search,tests/ui/search_tests.robot,Verify Clicking Product Opens Detail Page,UI,"TC_077, TS_022, smoke, P0, functional"
TC_088,TS_030,Verify item added to cart,Cart,tests/ui/cart_tests.robot,Verify Item Is Added To Cart Successfully,UI,"TC_088, TS_030, smoke, P0, positive"
TC_090,TS_031,Verify quantity increase in cart,Cart,tests/ui/cart_tests.robot,Verify Quantity Increase In Cart Updates Price,UI,"TC_090, TS_031, smoke, P0, positive"
TC_091,TS_031,Verify quantity decrease in cart,Cart,tests/ui/cart_tests.robot,Verify Quantity Decrease In Cart Updates Price,UI,"TC_091, TS_031, smoke, P0, positive"
TC_096,TS_032,Verify item removal from cart,Cart,tests/ui/cart_tests.robot,Verify Item Removal From Cart,UI,"TC_096, TS_032, smoke, P0, positive"
TC_098,TS_034,Verify price calculation in cart,Cart,tests/ui/cart_tests.robot,Verify Cart Shows Correct Price Calculation,UI,"TC_098, TS_034, regression, P0, functional"
TC_100,TS_034,Verify Empty Cart state,Cart,tests/ui/cart_tests.robot,Verify Empty Cart State Shows Message,UI,"TC_100, TS_034, regression, P2, negative"
TC_103,TS_035,Verify checkout with saved address,Checkout,tests/ui/checkout_tests.robot,Verify Checkout With Saved Address,UI,"TC_103, TS_035, smoke, P0, positive"
TC_110,TS_038,Verify order summary accuracy at checkout,Checkout,tests/ui/checkout_tests.robot,Verify Order Summary Is Accurate At Checkout,UI,"TC_110, TS_038, smoke, P0, functional"
TC_111,TS_039,Verify valid coupon code application,Checkout,tests/ui/checkout_tests.robot,Verify Valid Coupon Code Is Applied Successfully,UI,"TC_111, TS_039, regression, P0, positive"
TC_112,TS_039,Verify invalid coupon code,Checkout,tests/ui/checkout_tests.robot,Verify Invalid Coupon Code Shows Error,UI,"TC_112, TS_039, regression, P1, negative"
API_001,TS_015,Verify Search API - valid keyword,Search,tests/api/search_api_tests.robot,Verify Search API Returns Valid Response For Brake Pad,API,"API_001, TC_049, smoke, P0"
API_001,TS_014,Verify Search API - OEM part number,Search,tests/api/search_api_tests.robot,Verify Search API Returns Results For OEM Part Number,API,"API_001, TC_048, smoke, P0"
API_001,TS_022,Verify Search API - non-existent product,Search,tests/api/search_api_tests.robot,Verify Search API Returns Empty For NonExistent Product,API,"API_001, TC_075, regression, P1, negative"
API_002,TS_025,Verify Product Details API - valid ID,Product,tests/api/product_api_tests.robot,Verify Product Details API Returns Valid Product Info,API,"API_002, TC_078, smoke, P0"
API_002,TS_025,Verify Product API - required fields,Product,tests/api/product_api_tests.robot,Verify Product API Response Contains Required Fields,API,"API_002, TC_079, regression, P0"
API_002,TS_025,Verify Product API - invalid ID,Product,tests/api/product_api_tests.robot,Verify Product API Returns Error For Invalid Product ID,API,"API_002, TC_087, regression, P1, negative"
API_003,TS_030,Verify Add to Cart API,Cart,tests/api/cart_api_tests.robot,Verify Add To Cart API Adds Product Successfully,API,"API_003, TC_088, smoke, P0"
API_003,TS_031,Verify Add to Cart API - quantity > 1,Cart,tests/api/cart_api_tests.robot,Verify Add To Cart API With Multiple Quantity,API,"API_003, TC_090, regression, P0"
API_003,TS_030,Verify Add to Cart API - invalid product,Cart,tests/api/cart_api_tests.robot,Verify Add To Cart API Rejects Invalid Product,API,"API_003, regression, P1, negative"
API_004,TS_032,Verify Remove from Cart API,Cart,tests/api/cart_api_tests.robot,Verify Remove From Cart API Removes Product,API,"API_004, TC_096, smoke, P0"
API_003+004,TS_034,Verify Cart Details After Operations,Cart,tests/api/cart_api_tests.robot,Verify Cart Details API Shows Correct Items,API,"API_003, API_004, TC_098, regression, P0, functional"
API_005,TS_016,Verify Search API - empty query,Search,tests/api/search_api_tests.robot,Verify Search API Handles Empty Query Gracefully,API,"API_005, TC_050, regression, P1, negative"
API_005,TS_016,Verify Search API - special characters,Search,tests/api/search_api_tests.robot,Verify Search API Handles Special Characters Safely,API,"API_005, TC_051, regression, P1, negative, security"
API_006,N/A,Verify Search API response headers,Search,tests/api/search_api_tests.robot,Verify Search API Response Headers And Content Type,API,"API_006, regression, P1"
API_006,N/A,Verify Product API response headers,Product,tests/api/product_api_tests.robot,Verify Product API Response Headers And Timing,API,"API_006, regression, P1"
API_006,N/A,Verify Cart API response headers,Cart,tests/api/cart_api_tests.robot,Verify Cart API Response Headers And Performance,API,"API_006, regression, P1"
